filename,ipc2014-agl-jasper:default,ipc2014-agl-mpc:default,ipc2014-agl-probe:default,ipc2018-agl-freelunch-madagascar:default,ipc2018-agl-mercury2014:agl,ipc2018-agl-merwin:agl,ipc2018-agl-olcff:default,ipc2018-agl-saarplan:default,ipc2018-lapkt-bfws:bfws-pref-agl,ipc2018-lapkt-bfws:dual-bfws-agl,ipc2018-lapkt-bfws:poly-bfws,ipc2018-lapkt-dfs-plus:default
airport-adl:0-p43-airport5MUC-p5.pddl,42.3881,-,-,101.074,-,-,81.2097,106.958,-,-,-,-
airport-adl:0-p44-airport5MUC-p5.pddl,40.7866,51.8763,-,113.303,-,-,-,121.019,-,-,-,-
airport-adl:0-p45-airport5MUC-p6.pddl,-,64.3018,-,131.819,-,-,-,140.641,-,-,-,-
airport-adl:0-p46-airport5MUC-p6.pddl,55.8489,-,-,125.716,-,-,-,-,-,-,-,-
airport-adl:0-p47-airport5MUC-p8.pddl,61.2229,85.6071,-,176.621,-,-,-,-,-,-,-,-
airport-adl:0-p48-airport5MUC-p9.pddl,-,-,-,199.184,-,-,-,-,-,-,-,-
airport-adl:0-p49-airport5MUC-p10.pddl,76.6186,-,-,237.342,-,-,-,-,-,-,-,-
airport-strips:0-p02.pddl,3.5264,11.083,13.8277,22.0439,13.4029,39.686,9.50691,9.61682,3.35078,3.41882,3.35018,3.35704
airport-strips:0-p03.pddl,4.20822,14.9611,28.9732,28.841,20.8302,74.0544,14.1167,15.4316,4.87892,4.78669,5.17094,5.10177
airport-strips:0-p04.pddl,7.94722,18.5825,24.2335,36.5953,21.6102,63.0852,18.45,16.4177,5.22253,5.33209,5.29897,6.10478
airport-strips:0-p05.pddl,141.441,22.8168,38.3365,45.4445,-,244.469,36.5191,18.2871,11.5292,11.3901,11.329,13.8318
airport-strips:0-p06.pddl,-,26.739,60.2817,53.6432,239.042,-,39.0502,26.7309,14.2276,14.3139,14.4757,18.6284
airport-strips:0-p07.pddl,12.4098,29.9402,56.2515,57.6972,58.9782,143.42,39.7478,28.1869,19.526,19.7396,19.8411,27.6837
airport-strips:0-p08.pddl,-,36.0617,-,68.1628,-,-,38.2564,36.0419,35.121,36.7919,34.4543,52.3968
airport-strips:0-p09.pddl,-,43.3549,-,86.8471,-,-,43.9701,104.71,40.3845,40.4916,40.6892,62.7929
airport-strips:0-p10.pddl,200.222,42.4991,97.8833,84.7456,-,-,43.8147,43.5618,44.7078,47.2575,45.0901,73.8596
airport-strips:0-p11.pddl,-,51.8204,-,97.796,-,-,54.1334,45.0913,75.7189,73.8645,78.0087,124.753
airport-strips:0-p12.pddl,-,62.8875,-,127.292,-,-,101.705,39.1973,107.118,100.812,103.811,182.971
airport-strips:0-p13.pddl,-,61.5257,-,114.18,-,-,56.6613,83.0164,112.93,112.104,118.018,196.535
airport-strips:0-p14.pddl,-,69.1002,-,138.081,-,-,187.884,-,154.025,144.642,154.246,272.905
airport-strips:0-p15.pddl,-,72.5146,-,214.345,-,-,-,-,177.569,173.841,185.33,-
airport-strips:0-p17.pddl,5.81057,14.9735,19.0821,29.2608,20.1095,43.8073,39.6958,25.0405,12.2305,10.8905,11.1102,15.0982
airport-strips:0-p18.pddl,4.88781,15.9706,20.5776,29.8235,21.7701,55.0207,33.0246,18.7607,8.5863,8.15806,7.95629,9.78933
airport-strips:0-p19.pddl,-,19.9904,38.7755,41.3621,32.3631,78.0056,40.6506,28.6931,27.9959,26.5571,26.4088,38.4201
airport-strips:0-p20.pddl,43.9157,21.2392,42.6473,39.5066,8.72007,16.9442,40.9777,28.8014,25.5407,25.2898,25.3183,35.2686
airport-strips:0-p21.pddl,6.63588,21.1388,32.7451,39.1568,92.6132,88.2885,41.3059,28.3908,12.4576,12.9588,13.2018,14.4558
airport-strips:0-p22.pddl,-,27.5337,68.9611,53.6139,-,-,53.4461,-,54.468,51.3474,52.3302,76.6198
airport-strips:0-p23.pddl,80.9134,31.4545,55.1085,50.9838,56.928,112.832,53.323,44.5591,30.9886,31.0297,30.6868,42.3261
airport-strips:0-p24.pddl,9.3968,25.0134,-,51.4303,43.8986,295.706,50.2956,43.4987,20.2769,22.5153,22.5605,25.2494
airport-strips:0-p25.pddl,8.81601,61.1245,-,64.816,-,-,55.4377,22.1075,30.1608,29.1245,28.626,37.966
airport-strips:0-p26.pddl,-,52.1838,-,66.1558,-,-,74.3613,29.9299,62.4671,56.8661,56.3261,81.8786
airport-strips:0-p27.pddl,-,100.677,-,94.7512,-,-,119.601,-,-,-,-,203.275
airport-strips:0-p28.pddl,-,-,-,115.43,-,-,-,53.5273,-,-,-,-
airport-strips:0-p29.pddl,-,-,-,126.214,-,-,157.412,-,-,-,-,-
airport-strips:2-p18-airport3-p6.pddl,1.82556,0.707458,236.894,1.5923,5.18314,11.8878,2.18921,2.42524,2.21754,1.07252,1.05751,1.23087
airport-strips:2-p19-airport3-p6.pddl,1.84575,0.680755,12.4949,1.35128,3.25196,8.1012,1.81764,2.14563,1.1422,0.866143,0.787736,0.853521
airport-strips:2-p20-airport3-p7.pddl,49.5891,0.831338,-,2.21222,119.634,267.841,3.05473,3.27207,2.62777,1.31829,1.35776,1.37111
assembly-adl:0-prob01.pddl,0.804221,0.357447,0.329533,0.508821,-,-,-,-,-,-,-,-
