filename,ipc2014-opt-symba1:default,ipc2018-decstar:opt-config00,ipc2018-decstar:opt-config01,ipc2018-decstar:opt-config02,ipc2018-decstar:opt-config03,ipc2018-decstar:opt-config04,ipc2018-decstar:opt-config05,ipc2018-decstar:opt-config06,ipc2018-opt-complementary2:default,ipc2018-opt-delfi:h2-simpless-dks-900masb50ksbmiasm,ipc2018-opt-delfi:h2-simpless-dks-900masb50ksccdfp,ipc2018-opt-delfi:h2-simpless-dks-900masginfsccdfp,ipc2018-opt-delfi:h2-simpless-dks-blind,ipc2018-opt-delfi:h2-simpless-dks-celmcut,ipc2018-opt-delfi:h2-simpless-dks-cpdbshc900,ipc2018-opt-delfi:h2-simpless-dks-zopdbsgenetic,ipc2018-opt-delfi:h2-simpless-oss-900masb50ksbmiasm,ipc2018-opt-delfi:h2-simpless-oss-900masb50ksccdfp,ipc2018-opt-delfi:h2-simpless-oss-blind,ipc2018-opt-delfi:h2-simpless-oss-celmcut,ipc2018-opt-delfi:h2-simpless-oss-cpdbshc900,ipc2018-opt-delfi:h2-simpless-oss-masginfsccdfp,ipc2018-opt-delfi:h2-simpless-oss-zopdbsgenetic,ipc2018-opt-delfi:simpless-dks-masb50kmiasmdfp,ipc2018-opt-delfi:simpless-oss-masb50kmiasmdfp,ipc2018-opt-metis:metis2,ipc2018-opt-planning-pdbs:default,ipc2018-opt-scorpion:default,ipc2018-symple1:symple100000OPT,ipc2018-symple2:symple100000OPT
elevators-strips:2-p19.pddl,12.8244,-,22.5831,37.9093,4.8072,361.051,113.567,338.009,806.507,608.371,490.754,-,642.255,46.7649,2.25129,39.2276,586.904,478.276,616.854,46.1546,2.27908,-,42.0967,105.99,105.967,48.8366,227.147,211.867,272.274,272.59
elevators-strips:2-p20.pddl,14.6784,-,17.6864,33.1354,18.8163,-,140.015,-,501.065,711.031,490.558,-,718.397,40.7115,43.019,6.12391,764.691,517.522,743.598,41.2877,46.9763,-,6.39833,81.7967,89.1649,42.5513,232.448,202.655,260.198,260.627
elevators-strips:4-p10.pddl,346.519,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,300.536,-,-
elevators-strips:4-p16.pddl,168.412,-,1065.5,-,-,-,-,-,430.028,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,268.864,365.703,-,-
elevators-strips:4-p25.pddl,10.9538,-,10.0811,7.49217,71.0583,-,56.7928,-,790.049,168.293,199.361,-,-,16.929,2.90236,154.12,166.317,197.628,-,17.019,2.82229,-,153.667,222.716,227.489,17.6481,215.01,213.524,223.331,220.392
elevators-strips:4-p27.pddl,152.529,-,142.848,45.9469,-,-,-,-,483.198,-,-,-,-,113.466,30.5954,-,-,-,-,113.299,31.2114,-,-,-,-,111.713,316.617,248.017,-,-
elevators-strips:5-p01.pddl,1.61143,-,0.981817,1.70144,2.76427,6.69523,1.46626,5.74043,929.843,6.69525,4.87898,81.5998,6.15974,1.39727,0.877282,2.23352,7.50102,5.17855,7.23009,1.42031,0.888548,-,2.27382,4.56486,4.57157,1.49509,276.66,204.413,19.3322,17.7952
elevators-strips:5-p02.pddl,3.21515,-,4.3412,2.64028,5.36836,91.3111,7.71558,83.1608,586.643,6.35847,25.6613,-,160.38,2.98426,2.72667,7.6445,6.00198,26.8171,169.209,2.96746,3.37839,-,7.34981,8.80927,8.63368,3.26497,215.479,205.045,57.9729,63.3272
elevators-strips:5-p03.pddl,102.978,-,1373.79,1030.08,-,-,-,-,569.408,-,-,-,-,937.805,-,-,-,-,-,917.349,394.673,-,-,-,-,918.789,222.123,285.763,-,-
ferry-strips:0-p031.pddl,174.51,-,-,144.618,-,20.5505,21.6333,-,926.315,-,-,-,-,99.896,-,-,-,-,-,130.962,-,-,-,-,-,111.22,554.02,232.506,-,-
ferry-strips:0-p032.pddl,159.52,-,-,67.3763,-,30.7377,11.3958,-,930.626,-,-,-,-,55.8425,-,-,-,-,-,61.0383,-,-,-,-,-,62.1213,533.459,221.706,-,-
ferry-strips:0-p033.pddl,-,-,-,-,-,-,-,-,980.378,-,-,-,-,1799.57,-,-,-,-,-,-,-,-,-,-,-,-,970.984,-,-,-
ferry-strips:0-p042.pddl,210.095,-,-,129.51,-,137.108,43.7987,-,914.179,-,-,-,-,99.6251,-,-,-,-,-,117.156,-,-,-,-,-,107.362,440.935,245.806,-,-
ferry-strips:0-p044.pddl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1388.51,-,-,-
ferry-strips:0-p052.pddl,59.2357,-,-,81.5496,-,19.7844,19.3785,-,922.761,-,-,-,-,61.9071,-,-,-,-,-,73.2901,-,-,-,-,-,69.2189,472.021,223.77,-,-
ferry-strips:0-p053.pddl,73.3645,-,-,11.886,-,13.4919,2.62208,-,965.588,-,-,-,-,10.1336,-,-,-,-,-,10.4595,-,-,-,-,-,11.4093,366.835,207.393,-,-
ferry-strips:0-p054.pddl,-,-,-,677.553,-,-,196.397,-,965.895,-,-,-,-,577.613,-,-,-,-,-,606.389,-,-,-,-,-,626.33,439.252,405.948,-,-
ferry-strips:0-p055.pddl,-,-,-,-,-,-,-,-,1001.13,-,-,-,-,-,-,-,-,-,-,1712.63,-,-,-,-,-,-,709.254,-,-,-
ferry-strips:0-p064.pddl,286.187,-,-,649.059,-,59.6392,269.47,-,975.114,-,-,-,-,467.906,-,-,-,-,-,590.806,-,-,-,-,-,510.473,554.162,491.866,-,-
ferry-strips:0-p065.pddl,-,-,-,193.492,-,95.2975,51.1913,-,941.208,-,-,-,-,156.67,-,-,-,-,-,173.317,-,-,-,-,-,170.149,744.579,261.881,-,-
ferry-strips:0-p066.pddl,-,-,-,1003.56,-,-,-,-,1031.26,-,-,-,-,788.788,-,-,-,-,-,858.414,-,-,-,-,-,849.413,1011.35,721.338,-,-
ferry-strips:0-p075.pddl,-,-,-,5.17958,-,13.3231,1.11595,-,926.959,-,-,-,-,3.51154,-,-,-,-,-,4.64095,-,-,-,-,-,3.75927,197.179,204.353,-,-
ferry-strips:0-p076.pddl,-,-,-,133.901,-,-,12.5812,-,955.958,-,-,-,-,93.0977,-,-,-,-,-,119.048,-,-,-,-,-,98.9515,322.154,219.926,-,-
ferry-strips:0-p085.pddl,-,-,-,17.9217,-,-,4.22083,-,913.437,-,-,-,-,15.1885,-,-,-,-,-,16.2781,-,-,-,-,-,16.4123,646.008,206.061,-,-
ferry-strips:0-p086.pddl,-,-,-,758.577,-,-,103.98,-,-,-,-,-,-,573.441,-,-,-,-,-,682.993,-,-,-,-,-,614.841,-,484.767,-,-
ferry-strips:0-p087.pddl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1237.53,-,-
ferry-strips:0-p097.pddl,-,-,-,66.4739,-,-,5.48707,-,927.302,-,-,-,-,41.9182,-,-,-,-,-,59.6771,-,-,-,-,-,43.6722,-,206.514,-,-
ferry-strips:0-p098.pddl,-,-,-,10.1857,-,94.9801,1.45546,-,961.778,-,-,-,-,7.255,-,-,-,-,-,8.91334,-,-,-,-,-,7.74876,505.54,207.882,-,-
ferry-strips:0-p099.pddl,-,-,-,-,-,-,147.531,-,-,-,-,-,-,964.893,-,-,-,-,-,-,-,-,-,-,-,1014.82,-,448.994,-,-
ferry-strips:0-p107.pddl,128.633,-,-,12.087,-,-,3.16446,-,937.361,-,-,-,-,11.0146,682.926,-,-,-,-,10.7088,383.514,-,-,-,-,11.7233,-,208.847,-,-
ferry-strips:0-p108.pddl,1617.87,-,-,90.2375,-,-,20.329,-,923.615,-,-,-,-,74.9485,-,-,-,-,-,80.9601,-,-,-,-,-,78.8978,-,210.852,-,-
ferry-strips:0-p109.pddl,-,-,-,1783.9,-,-,309.999,-,-,-,-,-,-,1084.81,-,-,-,-,-,1587.15,-,-,-,-,-,1165.09,-,273.836,-,-
ferry-strips:0-p118.pddl,1759.93,-,-,9.86211,-,-,1.5953,-,855.031,-,-,-,-,7.62136,-,-,-,-,-,8.55954,-,-,-,-,-,8.05485,-,206.244,-,-
ferry-strips:0-p119.pddl,-,-,-,37.8799,-,-,5.9569,-,854.97,-,-,-,-,32.5396,-,-,-,-,-,33.2997,-,-,-,-,-,34.0853,-,212.139,-,-
ferry-strips:0-p120.pddl,-,-,-,156.683,-,-,31.5878,-,1010.05,-,-,-,-,151.491,-,-,-,-,-,137.947,-,-,-,-,-,159.642,-,218.018,-,-
ferry-strips:0-p121.pddl,-,-,-,53.7001,-,-,7.49811,-,844.009,-,-,-,-,40.4598,-,-,-,-,-,47.3856,-,-,-,-,-,42.5447,-,209.91,-,-
ferry-strips:0-p129.pddl,100.66,-,-,17.6104,-,-,4.53562,-,797.091,-,-,-,-,15.9415,892.744,-,-,-,-,15.5699,446.027,-,-,-,-,16.8988,-,208.069,-,-
ferry-strips:0-p130.pddl,-,-,-,710.505,-,-,139.935,-,-,-,-,-,-,487.478,-,-,-,-,-,605.836,-,-,-,-,-,516.199,-,244.774,-,-
ferry-strips:0-p131.pddl,-,-,-,121.331,-,-,22.4257,-,856.912,-,-,-,-,78.7505,-,-,-,-,-,109.282,-,-,-,-,-,81.7768,-,212.894,-,-
flashfill-adl:0-p01.pddl,295.056,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
flashfill-adl:0-p02.pddl,649.621,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
flashfill-adl:0-p16.pddl,413.813,-,-,-,-,-,-,-,-,-,-,-,-,443.222,-,-,-,-,-,438.845,-,-,-,-,-,-,-,-,-,-
floortile-strips:0-p10.pddl,6.13257,-,92.9916,18.0184,-,-,-,-,70.8139,-,-,-,-,17.1266,-,-,-,-,-,17.0186,-,-,-,-,-,18.2953,72.5384,-,414.272,430.431
floortile-strips:0-p11.pddl,56.3087,-,598.37,128.81,-,-,-,-,932.901,-,-,-,-,121.385,-,-,-,-,-,120.934,-,-,-,-,-,130.374,473.594,-,-,-
floortile-strips:0-p12.pddl,13.6418,-,405.105,62.2309,-,-,-,-,175.318,-,-,-,-,59.3574,-,-,-,-,-,58.3929,-,-,-,-,-,63.3051,173.839,-,1221.11,1232.25
floortile-strips:0-p13.pddl,45.8145,-,1469.19,138.982,-,-,-,-,948.526,-,-,-,-,130.852,-,-,-,-,-,128.668,-,-,-,-,-,139.58,579.754,-,-,-
floortile-strips:0-p14.pddl,318.248,-,-,542.536,-,-,-,-,-,-,-,-,-,505.709,-,-,-,-,-,506.858,-,-,-,-,-,543.506,781.596,-,-,-
floortile-strips:0-p15.pddl,-,-,-,-,-,-,-,-,-,-,-,-,-,1774.4,-,-,-,-,-,1762.68,-,-,-,-,-,-,-,-,-,-
floortile-strips:0-p16.pddl,405.807,-,-,1447.58,-,-,-,-,-,-,-,-,-,1334.3,-,-,-,-,-,1334.59,-,-,-,-,-,1409.52,-,-,-,-
floortile-strips:0-p18.pddl,1014.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
floortile-strips:0-p20.pddl,189.038,-,-,1586.29,-,-,-,-,1194.97,-,-,-,-,1451.41,-,-,-,-,-,1438.95,-,-,-,-,-,1548.8,757.529,-,-,-
floortile-strips:0-p21.pddl,43.4098,-,-,518.648,-,-,-,-,909.823,-,-,-,-,465.86,-,-,-,-,-,465.95,-,-,-,-,-,495.317,674.332,-,-,-
floortile-strips:0-p22.pddl,423.39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
floortile-strips:0-p24.pddl,764.491,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
floortile-strips:2-p01-5-5-2.pddl,24.1682,-,906.945,123.413,-,-,-,-,921.589,-,-,-,-,113.926,-,-,-,-,-,113.866,-,-,-,-,-,123.608,628.999,-,-,-
floortile-strips:2-p01-6-5-2.pddl,60.092,-,-,478.796,-,-,-,-,945.598,-,-,-,-,433.467,-,-,-,-,-,433.736,-,-,-,-,-,457.432,536.038,-,-,-
floortile-strips:2-p02-5-5-2.pddl,23.9106,-,675.831,115.031,-,-,-,-,912.362,-,-,-,-,105.982,-,-,-,-,-,107.238,-,-,-,-,-,115.704,244.936,-,-,-
floortile-strips:2-p02-6-4-2.pddl,8.46562,-,341.532,31.1752,-,-,-,-,57.7955,560.133,-,-,-,28.0697,-,-,-,-,-,28.6785,-,-,-,-,-,30.6249,54.694,-,928.755,926.576
floortile-strips:2-p02-6-5-2.pddl,70.9762,-,-,479.171,-,-,-,-,924.026,-,-,-,-,435.765,-,-,-,-,-,434.331,-,-,-,-,-,468.78,572.254,-,-,-
floortile-strips:2-p03-5-5-2.pddl,23.5781,-,513.747,116.288,-,-,-,-,940.151,-,-,-,-,105.814,-,-,-,-,-,105.558,-,-,-,-,-,114.188,237.765,-,-,-
floortile-strips:2-p03-6-4-2.pddl,8.70025,-,470.271,30.8212,-,-,-,-,59.3401,-,-,-,-,28.2343,-,-,-,-,-,28.3369,-,-,-,-,-,30.9069,57.6379,-,952.023,931.837
floortile-strips:2-p03-6-5-2.pddl,68.5936,-,-,497.543,-,-,-,-,947.868,-,-,-,-,459.522,-,-,-,-,-,452.921,-,-,-,-,-,496.318,537.303,-,-,-
floortile-strips:3-p04-5-5-2.pddl,28.5611,-,1151.0,126.249,-,-,-,-,936.2,-,-,-,-,116.247,-,-,-,-,-,119.099,-,-,-,-,-,124.664,789.816,-,-,-
floortile-strips:3-p04-6-5-2.pddl,74.668,-,-,491.287,-,-,-,-,921.309,-,-,-,-,446.317,-,-,-,-,-,445.018,-,-,-,-,-,480.627,528.505,-,-,-
floortile-strips:3-p05-6-5-2.pddl,66.8945,-,-,452.539,-,-,-,-,938.442,-,-,-,-,416.466,-,-,-,-,-,415.362,-,-,-,-,-,441.135,462.563,-,-,-
floortile-strips:4-opt-p06-011.pddl,7.33406,-,228.968,30.0121,-,-,-,-,51.0499,377.587,-,-,-,27.9325,-,-,-,-,-,27.7408,-,-,-,-,-,30.7269,54.8174,-,899.619,926.748
floortile-strips:4-opt-p07-013.pddl,25.165,-,701.385,116.774,-,-,-,-,917.556,-,-,-,-,108.608,-,-,-,-,-,106.318,-,-,-,-,-,116.495,665.785,-,-,-
floortile-strips:4-opt-p07-014.pddl,26.0329,-,892.903,121.004,-,-,-,-,937.607,-,-,-,-,111.085,-,-,-,-,-,110.267,-,-,-,-,-,118.497,594.955,-,-,-
floortile-strips:5-seq-p05-009.pddl,8.38243,-,403.587,33.0298,-,-,-,-,55.2289,565.106,-,-,-,30.756,-,-,-,-,-,30.4694,-,-,-,-,-,32.9322,51.2486,-,938.397,921.884
floortile-strips:5-seq-p05-010.pddl,8.25957,-,285.582,32.5184,-,-,-,-,55.8327,568.532,-,-,-,30.2747,-,-,-,-,-,29.9448,-,-,-,-,-,33.2598,54.8355,-,911.267,889.38
floortile-strips:5-seq-p06-011.pddl,23.6605,-,564.232,123.798,-,-,-,-,910.393,-,-,-,-,113.241,-,-,-,-,-,112.934,-,-,-,-,-,122.891,250.786,-,-,-
floortile-strips:5-seq-p06-012.pddl,26.1892,-,938.814,118.709,-,-,-,-,910.379,-,-,-,-,110.051,-,-,-,-,-,108.424,-,-,-,-,-,117.229,628.397,-,-,-
freecell-strips:0-p10.pddl,-,-,-,-,-,-,92.1671,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,257.176,-,-
freecell-strips:0-p11.pddl,-,-,-,-,-,-,79.4725,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,287.01,-,-
freecell-strips:0-p12.pddl,-,-,-,-,-,-,134.749,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,286.626,-,-
freecell-strips:0-p13.pddl,-,-,-,-,-,-,267.509,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,370.038,-,-
freecell-strips:0-p14.pddl,-,-,-,-,-,-,432.252,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,377.651,-,-
freecell-strips:0-p15.pddl,-,-,-,-,-,-,646.312,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,999.013,-,-
freecell-strips:1-p13.pddl,-,-,-,-,-,-,1289.32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,648.674,-,-
freecell-strips:1-p14.pddl,-,-,-,-,-,-,809.508,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,788.967,-,-
freecell-strips:1-p16.pddl,-,-,-,-,-,-,406.813,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,450.921,-,-
freecell-strips:1-p17.pddl,-,-,-,-,-,-,188.892,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,319.358,-,-
freecell-strips:1-p18.pddl,-,-,-,-,-,-,1171.35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,676.954,-,-
freecell-strips:1-p20.pddl,-,-,-,-,-,-,245.064,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,301.923,-,-
freecell-strips:1-p25.pddl,-,-,-,-,-,-,1020.68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,874.229,-,-
freecell-strips:1-p28.pddl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1425.87,-,-
freecell-strips:2-p13.pddl,-,-,-,-,-,-,853.293,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,476.202,-,-
freecell-strips:2-p16.pddl,-,-,-,-,-,-,277.204,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,299.108,-,-
freecell-strips:2-p17.pddl,-,-,-,-,-,-,62.7905,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,245.741,-,-
freecell-strips:2-p18.pddl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,604.767,-,-
freecell-strips:2-probfreecell-10-5.pddl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1649.72,-,-
freecell-strips:2-probfreecell-11-1.pddl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,813.654,-,-
freecell-strips:2-probfreecell-11-3.pddl,-,-,-,-,-,-,78.2433,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,345.701,-,-
freecell-strips:2-probfreecell-12-1.pddl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1312.49,-,-
freecell-strips:2-probfreecell-12-3.pddl,-,-,-,-,-,-,206.352,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,378.023,-,-
freecell-strips:2-probfreecell-13-2.pddl,-,-,-,-,-,-,453.852,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,401.319,-,-
freecell-strips:2-probfreecell-13-3.pddl,-,-,-,-,-,-,1497.79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,507.463,-,-
freecell-strips:2-probfreecell-6-5.pddl,-,-,-,-,-,-,57.382,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,229.152,-,-
freecell-strips:2-probfreecell-7-5.pddl,-,-,-,-,-,-,1078.45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,543.719,-,-
freecell-strips:2-probfreecell-8-5.pddl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,653.621,-,-
freecell-strips:2-probfreecell-9-4.pddl,-,-,-,-,-,-,298.481,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,374.76,-,-
freecell-strips:2-probfreecell-9-5.pddl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1089.71,-,-
fsc-grid-a-strips:0-corner2x2_A2.pddl,31.7293,-,-,-,-,115.455,-,76.9263,975.604,374.972,379.437,377.173,371.255,30.3646,-,250.87,486.994,330.538,306.396,31.3948,-,331.945,231.358,430.189,340.6,-,929.147,228.341,145.147,142.242
fsc-grid-a-strips:1-corner2x2_A.pddl,33.5639,-,-,-,-,104.867,-,43.0762,965.484,265.309,268.804,266.912,242.251,27.9096,-,-,432.191,218.229,205.114,29.1471,-,218.771,-,384.317,229.981,-,929.222,232.011,237.636,231.109
fsc-grid-a-strips:1-corner3x2_A.pddl,-,-,-,-,-,-,-,-,-,-,-,-,-,1413.14,-,-,-,-,-,1391.45,-,-,-,-,-,-,-,-,-,-
fsc-grid-a-strips:1-prize2x2_A.pddl,28.3168,-,-,-,-,110.835,-,56.9515,979.363,136.471,142.586,138.885,130.492,53.1508,-,151.863,378.678,153.854,141.79,54.4829,-,147.805,159.521,141.108,154.02,-,930.641,228.479,101.598,99.4955
fsc-grid-a-strips:1-prize3x2_A.pddl,89.591,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
fsc-grid-r-strips:0-corner2x2_R.pddl,-,-,-,-,-,32.2905,-,3.8953,-,14.1057,4.89714,8.78913,13.4992,3.55912,-,-,11.4293,2.69546,11.3283,11.1131,-,9.04618,-,14.4433,12.6167,-,-,203.633,-,-
fsc-grid-r-strips:0-corner3x2_R.pddl,-,-,-,-,-,48.8513,-,19.8707,-,22.5079,22.6944,22.2066,19.5739,22.6694,-,-,32.0981,21.0776,18.6864,20.2217,-,22.4709,-,23.9204,22.6533,-,-,218.736,-,-
fsc-grid-r-strips:0-corner3x3_R.pddl,-,-,-,-,-,96.5528,-,40.2871,-,64.9521,62.6945,60.0787,46.9192,42.6935,-,-,64.2121,52.4415,35.9048,35.9085,-,49.8483,-,51.0042,43.1452,-,-,224.565,-,-
fsc-grid-r-strips:0-corner4x2_R.pddl,-,-,-,-,-,69.324,-,23.8452,-,38.0844,41.9372,35.208,30.0224,31.3046,-,-,51.7072,35.1822,27.7054,31.492,-,32.6381,-,29.2995,31.1674,-,-,225.932,-,-
fsc-grid-r-strips:0-corner4x3_R.pddl,-,-,-,-,-,148.632,-,76.5576,-,177.31,192.565,198.765,139.916,113.854,-,-,150.766,135.664,86.2687,95.8064,-,130.604,-,159.419,98.6414,-,-,249.367,-,-
fsc-grid-r-strips:0-corner4x4_R.pddl,-,-,-,-,-,376.69,-,189.106,-,820.746,868.64,861.679,600.233,387.748,-,-,377.303,553.709,264.564,326.829,-,538.304,-,611.517,325.13,-,-,251.81,-,-
fsc-grid-r-strips:0-prize2x2_R.pddl,22.8229,-,-,-,-,27.6511,-,3.00818,-,4.20259,1.07627,4.08123,14.1348,15.33,-,-,9.08231,2.54354,13.3799,13.823,-,8.75513,-,1.52765,15.1967,-,-,204.948,-,-
fsc-grid-r-strips:0-prize3x2_R.pddl,-,-,-,-,-,40.8817,-,16.8665,-,19.6826,18.3741,15.8627,17.4968,17.3258,-,-,29.2545,21.5183,18.7578,16.4835,-,15.565,-,8.71585,18.5974,-,-,218.776,-,-
fsc-grid-r-strips:0-prize3x3_R.pddl,-,-,-,-,-,73.8101,-,26.1903,-,33.4954,34.2244,32.7616,21.3124,30.8001,-,-,52.5766,38.3583,26.5926,24.073,-,35.6384,-,29.7326,26.8252,-,-,229.771,-,-
fsc-grid-r-strips:0-prize4x2_R.pddl,-,-,-,-,-,47.3688,-,20.1711,-,28.8143,27.9831,26.05,25.5315,24.8276,-,-,53.0518,27.8824,21.2577,22.628,-,24.8024,-,22.2486,25.4299,-,-,220.358,-,-
fsc-grid-r-strips:0-prize4x3_R.pddl,-,-,-,-,-,93.3485,-,34.0091,-,71.4681,77.2634,64.1099,43.0041,51.4656,-,-,71.8431,76.2392,45.8633,41.2695,-,83.8548,-,53.7476,28.4201,-,-,235.629,-,-
fsc-grid-r-strips:0-prize4x4_R.pddl,-,-,-,-,-,143.012,-,55.164,-,207.692,288.041,275.472,40.0348,46.9184,-,-,135.137,281.542,43.3829,40.9223,-,276.367,-,50.3444,55.7907,-,-,245.028,-,-
fsc-grid-r-strips:0-prize5x2_R.pddl,-,-,-,-,-,79.7809,-,27.8158,-,46.4523,49.0265,44.7444,26.4366,35.1555,-,-,78.8234,50.322,29.626,32.9673,-,46.6527,-,32.3329,31.6796,-,-,233.43,-,-
fsc-grid-r-strips:0-prize5x3_R.pddl,-,-,-,-,-,147.375,-,54.854,-,183.551,227.29,221.909,40.9881,67.0232,-,-,118.922,222.891,47.5117,56.3009,-,222.814,-,54.6931,60.0749,-,-,261.634,-,-
fsc-grid-r-strips:0-prize5x4_R.pddl,-,-,-,-,-,241.534,-,91.1186,-,765.023,965.041,970.126,70.2377,72.1386,-,-,216.175,972.271,68.944,80.4253,-,970.955,-,83.6057,95.8289,-,-,260.592,-,-
fsc-hall-strips:0-p1x4_A.pddl,23.4076,-,-,-,-,21.0638,-,16.0919,946.981,18.0977,15.4742,18.2561,17.2519,14.637,-,-,69.761,18.5068,15.0846,14.4924,-,16.9304,-,18.1591,16.1335,29.5979,135.784,222.569,104.39,101.882
ged-strips:0-p01.pddl,0.866224,-,0.556388,0.574601,0.821385,0.672582,0.581422,0.531183,1.76446,0.652322,0.663751,0.731835,0.610309,0.624938,0.874133,0.89237,0.761293,0.811383,0.565692,0.573239,0.895828,0.843151,0.891605,0.592744,0.699054,0.602687,1.85948,202.908,0.921296,1.2755
ged-strips:0-p02.pddl,1.00511,-,0.598259,0.61077,2.89322,1.63753,0.606746,0.62584,1.90355,1.73965,0.907792,13.0212,0.626919,0.629634,1.19033,1.81363,3.88466,1.0632,0.631137,0.62313,1.13752,37.1714,1.7944,1.49319,1.42433,0.649933,1.92559,202.699,1.36293,1.86446
ged-strips:0-p03.pddl,0.915712,-,0.56406,0.616446,2.87445,1.64035,0.56504,0.600044,1.97326,1.79729,0.97756,13.0782,0.68933,0.670626,1.35634,1.76009,3.88839,1.0835,0.634304,0.632545,1.40342,35.1425,1.78291,1.43579,1.4591,0.703286,1.98858,204.185,1.45392,1.76885
ged-strips:0-p04.pddl,1.18999,-,0.754988,0.894882,3.45745,3.27926,0.831446,0.593732,3.46864,7.62652,1.11913,-,0.748296,0.774971,1.47219,1.7221,13.794,1.28547,0.736746,0.842105,1.51616,-,1.79186,2.09129,2.07074,0.872599,3.42208,204.523,3.45274,3.86574
ged-strips:0-p05.pddl,1.13421,-,0.776001,0.748352,3.44017,3.16041,0.707362,0.671943,3.41232,7.85959,1.10431,-,0.703901,0.786169,1.60229,1.74547,13.4103,1.23512,0.750215,0.752124,1.64294,-,1.75767,2.12052,2.21852,0.825828,3.49352,203.944,3.35042,3.72476
ged-strips:0-p06.pddl,1.70827,-,3.84963,3.52471,2.42965,5.92079,3.07767,1.15785,154.694,9.34201,1.97107,-,1.40586,3.35531,1.99726,2.48565,15.9844,2.33459,1.39397,3.59891,1.93037,-,2.3797,6.00931,5.28653,3.90685,148.042,203.108,56.0514,55.8619
ged-strips:0-p07.pddl,1.94134,-,5.98874,3.46584,2.50991,5.98415,4.08798,1.31651,234.452,9.59505,1.99646,-,1.6587,3.21251,2.13719,2.49096,15.1497,2.03786,1.5687,3.41498,2.08249,-,2.5617,5.60565,5.00467,3.64031,234.456,205.518,56.8984,63.3571
