filename,ipc2014-opt-symba1:default,ipc2018-decstar:opt-config00,ipc2018-decstar:opt-config01,ipc2018-decstar:opt-config02,ipc2018-decstar:opt-config03,ipc2018-decstar:opt-config04,ipc2018-decstar:opt-config05,ipc2018-decstar:opt-config06,ipc2018-opt-complementary2:default,ipc2018-opt-delfi:h2-simpless-dks-900masb50ksbmiasm,ipc2018-opt-delfi:h2-simpless-dks-900masb50ksccdfp,ipc2018-opt-delfi:h2-simpless-dks-900masginfsccdfp,ipc2018-opt-delfi:h2-simpless-dks-blind,ipc2018-opt-delfi:h2-simpless-dks-celmcut,ipc2018-opt-delfi:h2-simpless-dks-cpdbshc900,ipc2018-opt-delfi:h2-simpless-dks-zopdbsgenetic,ipc2018-opt-delfi:h2-simpless-oss-900masb50ksbmiasm,ipc2018-opt-delfi:h2-simpless-oss-900masb50ksccdfp,ipc2018-opt-delfi:h2-simpless-oss-blind,ipc2018-opt-delfi:h2-simpless-oss-celmcut,ipc2018-opt-delfi:h2-simpless-oss-cpdbshc900,ipc2018-opt-delfi:h2-simpless-oss-masginfsccdfp,ipc2018-opt-delfi:h2-simpless-oss-zopdbsgenetic,ipc2018-opt-delfi:simpless-dks-masb50kmiasmdfp,ipc2018-opt-delfi:simpless-oss-masb50kmiasmdfp,ipc2018-opt-metis:metis2,ipc2018-opt-planning-pdbs:default,ipc2018-opt-scorpion:default,ipc2018-symple1:symple100000OPT,ipc2018-symple2:symple100000OPT
agricola-strips:2-p16.pddl,-,-,-,-,-,-,-,-,-,809.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
agricola-strips:3-p12.pddl,46.828,-,-,-,-,-,-,-,977.405,259.577,147.214,186.929,142.315,-,72.0133,132.07,1005.77,136.336,123.985,-,67.545,173.224,120.494,-,-,-,430.991,-,-,-
agricola-strips:3-p13.pddl,300.38,-,-,-,-,-,-,-,-,424.692,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
airport-adl:0-p01-airport1-p1.pddl,-,-,-,-,-,-,-,0.453442,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
airport-adl:0-p02-airport1-p1.pddl,-,-,-,-,-,-,-,0.450218,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
airport-adl:0-p03-airport1-p2.pddl,-,-,-,-,-,-,-,0.550643,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
airport-adl:0-p04-airport2-p1.pddl,-,-,-,-,-,-,-,0.683675,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
airport-adl:0-p05-airport2-p1.pddl,-,-,-,-,-,-,-,0.642243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
airport-adl:0-p06-airport2-p2.pddl,-,-,-,-,-,-,-,0.81229,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
airport-adl:0-p07-airport2-p2.pddl,-,-,-,-,-,-,-,0.871872,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
airport-adl:0-p08-airport2-p3.pddl,-,-,-,-,-,-,-,2.05375,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
airport-adl:0-p09-airport2-p4.pddl,-,-,-,-,-,-,-,21.7232,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
airport-adl:0-p10-airport3-p1.pddl,-,-,-,-,-,-,-,0.727402,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
airport-adl:0-p11-airport3-p1.pddl,-,-,-,-,-,-,-,0.743494,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
airport-adl:0-p12-airport3-p2.pddl,-,-,-,-,-,-,-,0.919251,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
airport-adl:0-p13-airport3-p2.pddl,-,-,-,-,-,-,-,1.00103,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
airport-adl:0-p14-airport3-p3.pddl,-,-,-,-,-,-,-,2.37347,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
airport-adl:0-p15-airport3-p3.pddl,-,-,-,-,-,-,-,2.43479,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
airport-adl:0-p16-airport3-p4.pddl,-,-,-,-,-,-,-,134.015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
airport-adl:0-p21-airport4halfMUC-p2.pddl,-,-,-,-,-,-,-,22.4149,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
airport-adl:0-p22-airport4halfMUC-p3.pddl,-,-,-,-,-,-,-,567.319,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
airport-adl:0-p36-airport5MUC-p2.pddl,-,-,-,-,-,-,-,44.9598,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
